consist ,تتكون
insights ,البصائر
such as ,مثل
emit, تنبعث او ترسل  تنفث
external ,خارجي
excitati ,الاثاره
detect,الكشف عن
radiation,إشعاع
accurately,دقه
either,اما
To take action based on sensor data,اتخاذ إجراء بناء على بيانات أجهزة الاستشعار
We typically,نحن عادة
behavers , السلوكيات
dignity,كرامة
praise,مدح
surgery, عملية
Cruciate ligament,
injury,
supposed,مفترض
as opposed ,بدلا
associated ,مرتبط ,متعلق
Oftentimes,الاحيان
passions ,العواطف
expect , يتوقع
optimistic ,مستبشر
intention ,نيّة
intuitive,بديهي
actual,حالي
inspired,مستوحاه
atheist ,ملحد
moral,أخلاقي
depression,اكتئاب
recognize, التعرف
belongs, ينتمي
Self-sufficiency ,اكتفاء ذاتي 
recommendation , توصية ,تزكية
advencher , مغامر
alliant ,حليف
Vaccine ,لقاح
protact ,حماية
differentiable , التفاضل (الاشتقاق)
inspired ,مستوحاه
Intelligent ,ذكي
invention, اختار
Enhanced  , تحسين او تعزيز
combining , الجمع (مثل جمع اشياء)
identify , للتعرف 
tone , نغمة او تبرة صوت
sentiment , مشاعر او حساس
standardize  , توحيد المعيار
disambiguation ,توضيح
ambiguity ,الغموض
intended (intended meanin), المنوي ( المعنى المقصود )
represent (method to represent) , تمثيل (طريقة التمثيل / العرض )
disadvantage , عيب او مساوئ
considering , مع الخذ في العتبار
advantage , مميزة
atheist , ملحد
godless , ملحد او كافر
Gambling , مقامرة
unified , موحد
dependencies ,التبعيات
phase ,مرحلة
practical (practical application) , عملي (تطبيق عملي)
Ensuring ,ضمان
prepare  ,يحضر
relying on ,الاعتماد على
optimal , أفضل الامثل
terms ,شروط 
related , متعلق ب
field ,مجال
Chunk ,قطعة
aware ,واعي
perform  ,يؤدي
Bringing up ,تربية
Earthquake , زلزال
partial , جزئي
composition ,تكوين
predefined , المعرفه مسبقا
current ,حالي
Adaptive , التكيف 
prevent , منع
coordinates ,احداثيات
individual  , الفردية
Possibility , إمكانية
save your breath , وفر كلامك
mocking , اسخر 
stuff ,أشياء
rhyme , قافية
humble ,متواضع
satisfy , إرضاء
addiction , ادمان
recognize , الاعتراف
belongs ,ينتمي
preloaded , محملة مسبقا
accurate,دقيق
enormous , هائله(عدد هائل)
Visualizing , تصور
identical ,متطابقه
highlighted , ابرز
obtain ,حصل
practical , مفيدة عمليا
influences ,التاثيرات
Since , منذ
convert , حول
probabilities , الاحتمالات
familiar , مالوفه
Obviously , الواضح
may get  , قد تحصل على 
at a time ,في كل مرة
Fluency , الطلاقة
suit u, تناسبك
struggling , يكافح
curiousity , ​فضول
take advantage of , استغلال نتهزإستغل تفوذه
exploit ,​استغلاستخدماستثمر
jerking off , الاستمناء
regret ,يندم
Plastic surgery ,عمليات تجميل 
as i said ,كما قلت
rude , وقح
estimated , يقدر
this is really complicated , 
nice view , منظر جميل 
swing at , يضرب 
swing , يتارجح
cheer for , يهتف (يشجع) 
cheer up , تفرفش او يبهج شخص
amazied , 
field , ملعب
artist , فنان
sketch ,  رسم بدائي 
straight , مستقيم 
wavy , مموج
I'll have to beg off ,  شكرا لدعوتك لي. ولاكن ليس بمقدوري
if that don't beat all , اذا لم يكن ذالك يغلب كل شئ
election , انتخابات
if it isn't someone (if it isn't Jond) ,لو انها ليست جانس : تستخدم لدهشة
Raised in a barn , هل نشأت في حظيرة  
Yesterday wouldn't be too soon , البارحة لن يكون مبكرا جدا
You disappointed me , خيبت املي فيك
slang , دارجة
pieces, قطع -جمع قطع
over , فوق
costume , زي تنكري
glue , صمغ
scissors , مقص
cut out , يقطع من
cut in , يقطع في (بدون ماتخرب اجزاء من القطة)
facility , السهولة او الرفاهية او وسيلة
hinst , تَلمِيح
lake , بحيره
bowl , وعاء
Tadpole , فرخ الضفدع
hop , يقفز (قفزة منخفضة )
Idiom , مصطلح
podium , منصة
You know, freshman year is usually the hardest ,تعلمون ، السنة الأولى هي عادة الأصعب.
Voiceover , تعليق صوتي
convince me , تقنعني
Law , قانون
crawl , ازحف 
hose , خرطوم مياه
fire truck , سيارة الإطفاء
go by , يمر
hide , يختباء 
elevator , مصعد كهربائي 
call for , يطلب 
experiment , تجربة
magnet , مغناطييس
hold , يمسك
bandage , ضمادة
float , يطفو
goggles , نظارات واقية
bottom ,الاسفل او القاع
push aganist , يتنافرو
tape , لصقه
falling over ,السقوط
floating , عائم
by that time ,  بحلول ذلك الوقت
may not want to!,  قد لا ترغب في
hesitate  (don't hesitate to come back) , تردد
even , حتى
Digital age ,  العصر الرقمي
information age , العصر الرقمي
message ,رسالة
think twice , تفكير مره اخرى
shaving , حلاقة دقن
hircut , حلاقة  شعر
wild , بري او شرس
wild desert , صحراء غير صلاحة للعيشة البشر 
wild forest , غابة غير صالحة لعيش البشر 
own one ,  امتلك واحده
keep in mind , ضع في اعتبارك 
fad , بدعة , موضة
concerns time , يتعلق با الوقت
producer , منتج
Not produced , لم يتم إنتاجه
retired , متقاعد 
For a while , لفترة من الوقت
check-up , فحص طبي
check up , يتفحص
get hungey , يجوع
got bored , شعرنا بلملل
eye chart , لوحة مقايس النظر 
eyesight , البصر او الابصار
causes and effects , الاسباب و الاثار(العله و النتيجة)
seems , يبدو
appear , يظهر
enormously popular , بشعبية كبيرة
disappear ,  يختفي 
manual , يدوي
eliminates , يلغي
separa , يفصل
separate , منفصل
since , منذ
wave started , بدأت الموجة
related , ذات الصله
practice overlap , الممارسة العملية
desired , مرغوب
vague , غامضه
innovations , الابتكارات
superior , متفوق
Significance , دلالة
illustrates ,يوضح
behave , تصرف
contain , يحتوي
available , متوفر
Violence , العنف
competition , منافسة
Affection , العاطفة 
infection , العدوى
jewelry , المجوهرات
dig , يحفر 
dig up , الحفر لستخرج من باطن الارض
dug , حفر
buried , دفنا
bury , دفن
recently , حديثاً او مؤخرا
particular , خاصة 
resemble , تشبه
first glance , للوهلة الأولى
rather , بدلا
relatively , نسبيا
probably , من المحتمل
Presumably , يفترض
assumes , يفترض
trade-off , المقايضة
exclusively , حصرا
However , لكن
refine  ,صقل او تحسين
Transfer , نقل
earlier , اسبق او سابق
tricky , صعب
trick , حيلة او خدعة
explicitly , صراحه
forced , مجبور
force ,  قوة

